Project,MethodName,Release,LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/updatePage(LedgerEntryPage),4.0.0,19,4,1,3,1,1,200,0,1,200.0,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/flushLedger(boolean),4.0.0,100,17,1,19,3,3,206,5,0,70.33333333333333,yes
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/compare(LedgerEntryPage, LedgerEntryPage)",4.0.0,4,1,2,0,1,1,200,0,0,200.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/writeBuffers(Long, List, FileInfo, int, int)",4.0.0,30,8,5,7,3,3,203,3,0,68.66666666666667,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/grabCleanPage(long, long)",4.0.0,56,9,2,9,3,3,204,4,0,69.33333333333333,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLastEntry(long),4.0.0,22,4,1,4,3,3,202,2,0,68.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getActiveLedgers(),4.0.0,24,4,0,7,3,3,202,2,0,68.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/deleteLedger(long),4.0.0,29,2,1,1,2,2,202,2,0,102.0,yes
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/LedgerDescriptor(long, EntryLogger, LedgerCache)",4.0.0,5,1,3,0,2,2,134,1,0,67.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setMasterKey(ByteBuffer),4.0.0,3,1,1,0,2,2,135,2,0,68.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/cmpMasterKey(ByteBuffer),4.0.0,3,1,1,0,2,2,134,1,0,67.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getLedgerId(),4.0.0,3,1,0,0,2,2,137,0,0,68.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/incRef(),4.0.0,3,1,0,0,1,1,133,0,0,133.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/decRef(),4.0.0,3,1,0,0,1,1,133,0,0,133.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getRefCnt(),4.0.0,3,1,0,0,2,2,142,0,0,71.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setFenced(),4.0.0,3,1,0,0,3,3,143,1,0,48.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/isFenced(),4.0.0,3,1,0,0,3,3,144,2,0,48.666666666666664,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/addEntry(ByteBuffer),4.0.0,21,2,1,1,2,2,134,0,0,67.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/readEntry(long),4.0.0,44,9,1,8,3,3,137,4,0,47.0,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/close(),4.0.0,2,1,0,0,0,0,0,0,0,0.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/LedgerEntryPage(int, int)",4.0.0,5,1,2,0,2,2,157,0,0,78.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/toString(),4.0.0,10,2,0,1,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/usePage(),4.0.0,3,1,0,0,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/pin(),4.0.0,3,1,0,0,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/unpin(),4.0.0,3,1,0,0,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isPinned(),4.0.0,3,1,0,0,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/releasePage(),4.0.0,6,2,0,1,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/checkPage(),4.0.0,5,2,0,1,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/equals(Object),4.0.0,5,1,1,0,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/hashCode(),4.0.0,4,1,0,0,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setClean(int),4.0.0,3,1,1,0,1,1,151,0,0,151.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isClean(),4.0.0,3,1,0,0,1,1,151,0,0,151.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setOffset(long, int)",4.0.0,6,1,2,0,1,1,151,0,0,151.0,no
